DESIGNATION,RA,DEC,ra_gaia_ref,dec_gaia_ref,pmra,pmdec,j,h,k,distJ,distH,distK
Gaia DR3 1513836230784108672,193.101104,32.19757932,193.1011359,32.19760972,-4.828045693,-3.677414772,17.90458046,17.97421334,19.51658943,0.146387339,0.018027449,0.054606477
Gaia DR3 1515179868352938624,190.5335069,33.52919766,190.5335207,33.52915509,-7.773258794,-12.5803835,16.20025867,16.90097086,18.24687516,0.158753322,0.118501412,0.121571044
Gaia DR3 1443833009799122944,205.3131504,23.54968269,205.3131071,23.54965938,-10.1793384,2.663633754,18.24635498,18.38280068,19.95305328,0.165890707,0.065233374,0.11994228
Gaia DR3 3961449238491368576,191.1192697,26.76986429,191.1192268,26.76981618,-13.83396397,-13.72926885,14.93025451,16.08364513,17.9548707,0.221449681,0.199661597,0.208578238
Gaia DR3 1472046233353822208,203.6111569,36.18109836,203.6110938,36.18105939,-6.735533564,-5.802930116,18.36721526,18.58720358,19.95011084,0.230859648,0.363253805,0.342295271
Gaia DR3 1466667834787616384,199.4087268,32.69988344,199.4086801,32.69980881,-14.85595423,-12.9220436,17.28205569,17.91715145,18.91053892,0.303656481,0.330253322,0.23848161
Gaia DR3 1459709712890763264,197.0243977,26.98177191,197.0243218,26.98173973,-0.285032359,-2.644172202,18.32135149,18.54742771,19.9639839,0.269738833,0.307716945,0.431530979
Gaia DR3 1463862229007178368,195.3242093,28.73035599,195.3242004,28.73029707,0.991153086,-5.768801254,18.1605329,18.14165903,19.73652448,0.21393851,0.134929353,0.219623473
Gaia DR3 1467149249082051712,195.0290386,32.261451,195.0289739,32.26143617,-3.863575499,-2.710322896,18.04957669,18.76245726,19.79697816,0.203945024,0.237651453,0.168763102
Gaia DR3 1471559458940304640,203.9093112,34.52290762,203.9092926,34.52290554,-1.233264898,-2.220120734,17.6119914,17.73424471,19.32139359,0.055736556,0.0226627,0.227293129
Gaia DR3 3961087499165723648,191.8700511,25.72969791,191.8699613,25.72969624,-0.031479166,-0.092030596,16.74879734,17.73607581,18.65479667,0.291262639,0.410934187,0.269941475
Gaia DR3 1467073898176244224,195.2813654,31.89129438,195.2813227,31.89130134,-3.908268297,-2.785195337,18.44350488,18.48613868,19.83109707,0.132925342,0.113661381,0.256781302
Gaia DR3 1459378656811090048,197.2191451,25.70140313,197.2191063,25.70138112,-0.979041803,-1.052721276,18.21981557,18.22943644,19.58188366,0.148773001,0.306830324,0.227291693
Gaia DR3 1445301609440808704,206.3971613,26.15491875,206.397141,26.15490226,-5.883806913,-4.787295895,17.75551323,18.40089702,19.3699748,0.088546375,0.174654516,0.386788094
Gaia DR3 1447001454417157632,198.8373449,24.5067553,198.8372941,24.50672594,-3.735464318,-3.586954898,17.96733733,18.33196265,19.79896591,0.197199869,0.289220288,0.291604991
Gaia DR3 1456409979711497600,205.3857069,30.69020078,205.3856101,30.69014142,-28.24788623,-40.43224838,17.61433784,18.09395949,19.2060915,0.368071898,0.368101787,0.382951538
Gaia DR3 1451604323623880448,206.4375665,27.09401853,206.437543,27.09396489,-7.274055353,-17.11506738,17.20367486,18.44830562,19.93091784,0.207271451,0.152146787,0.200130662
Gaia DR3 1458337904633425792,206.2259459,32.51985169,206.2258551,32.51982278,-13.02510174,-20.23105428,17.71983092,18.01415661,19.61330224,0.294661853,0.217350409,0.213776049
Gaia DR3 1464890336802583680,192.1302817,29.32906808,192.1300121,29.32890283,-2.122382681,-2.443080868,18.09886865,18.53197586,19.93058588,1.034315967,0.165937663,0.178311171
Gaia DR3 1513903339648979584,192.4242598,32.50378382,192.4242308,32.50378133,-4.056235778,-5.242724804,17.98414309,18.51180258,19.74651026,0.088576527,0.163504614,0.204049067
Gaia DR3 1514023353919813120,193.2921218,32.95030149,193.2921203,32.95028846,9.22376019,1.847527815,16.95995359,18.33277994,18.93558544,0.047135683,0.066794412,0.057270789
Gaia DR3 1453877319100797824,208.9389695,30.06243076,208.9389265,30.06233507,-4.664906903,-2.055815669,18.16533734,18.74948052,19.89842241,0.369644668,0.394012559,0.383481028
Gaia DR3 1466238067475586944,196.1459664,31.32871277,196.1458937,31.32871248,0,0,18.36231172,18.39047875,19.77168144,0.223736039,0.437032962,0.501800014
Gaia DR3 1458110095271202304,207.0337117,32.38310948,207.0337315,32.38307647,-1.303664132,-1.545662778,16.98679407,17.73192482,19.20364302,0.133262545,0.131431805,0.146392308
Gaia DR3 1447413913011737600,199.9757067,25.52951705,199.9756782,25.52948621,0,0,17.44048732,18.15756273,19.42583166,0.144549851,0.137782776,0.171982755
Gaia DR3 1451831780797415552,206.4648716,28.21583851,206.4648659,28.21584573,0,0,17.52068243,18.29466062,19.68676709,0.031680944,0.011648104,0.147008164
Gaia DR3 1462222543636754944,201.5732077,30.21652464,201.5731889,30.21654825,-2.464144785,-9.255559421,18.28462986,18.30737254,19.74891859,0.103326887,0.106158008,0.23681697
Gaia DR3 1451380981029979392,206.1074562,26.69281686,206.1074411,26.69280358,-4.928308246,-0.667257435,17.17232824,17.25274034,18.64482737,0.068064396,0.176124326,0.147926085
